Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor4,Access a Healthy and Fit Force,Accession of a Healthy and Fit Force,Out of Box,0,,,
Vendor4,Access a Healthy and Fit Force,"Collect medical, biological history",Out of Box,0,,,
Vendor4,Access a Healthy and Fit Force,EHRs tracking starts here To evaluate physical and mental injury and treatment records,Out of Box,0,,,
Vendor4,Access a Healthy and Fit Force,Remedial programs to raise condition of potential accessions to meet military standards,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Document care provided,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Identify patients who will benefit from ambulatory diagnostic testing,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Perform diagnostic test or procedure,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Prepare patient for diagnostic test or procedure,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Provide patient with post diagnostic test instructions,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Recover Patient,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Document care provided,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Identify patients who will benefit from ambulatory diagnostic testing,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Perform diagnostic test or procedure,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Prepare patient for diagnostic test or procedure,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Provide patient with post diagnostic test instructions,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Recover Patient,Out of Box,0,,,
Vendor4,Amputee Care,Coordinate all medical and therapeutic services,Out of Box,0,,,
Vendor4,Amputee Care,"Establish a registry for limb loss, limb at risk and limb salvage patients",Out of Box,0,,,
Vendor4,Amputee Care,"Identify those with limb loss, at risk of limb loss, or who have had limb salvage",Out of Box,0,,,
Vendor4,Amputee Care,"Incorporate advanced capabilities as they become available, including identification of candidates for limb transplantation",Out of Box,0,,,
Vendor4,Amputee Care,Provide holistic rehabilitation treatment,Out of Box,0,,,
Vendor4,Medical Logistics: Blood Operational Tasks ,Manage the Class VIII-B Materiel Throughout End to- End Supply Chain,Does Not Support,0,,,
Vendor4,Burn Care,Coordinate all medical and therapeutic services,Out of Box,0,,,
Vendor4,Burn Care,"Establish a registry for those beneficiaries with skin, deep tissue or respiratory burns",Out of Box,0,,,
Vendor4,Burn Care,Incorporate advanced capabilities as they become available,Out of Box,0,,,
Vendor4,Burn Care,Provide burn care,Out of Box,0,,,
Vendor4,Burn Care,Provide holistic rehabilitation treatment,Out of Box,0,,,
Vendor4,Case Management,Assessment of clients,Out of Box,0,,,
Vendor4,Case Management,Assist with Transition of Care,Out of Box,0,,,
Vendor4,Case Management,Care Coordination,Out of Box,0,,,
Vendor4,Case Management,Development and Implementation of Plan of Care,Out of Box,0,,,
Vendor4,Case Management,Evaluate and Monitor Outcomes,Out of Box,0,,,
Vendor4,Case Management,Identification of potential clients,Out of Box,0,,,
Vendor4,Case Management,Maintain a licensed professional staff,Does Not Support,0,,,
Vendor4,Community Health Education,Assess the community health education requirements of specific DoD populations,Out of Box,0,,,
Vendor4,Community Health Education,Deliver effective community health education programs,Out of Box,0,,,
Vendor4,Community Health Education,"Develop evidence-based, cost-effective community health education programs",Out of Box,0,,,
Vendor4,Community Health Education,Evaluate the effectiveness of community health education programs,Out of Box,0,,,
Vendor4,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Determine personal and professional development needs of the medical force,Out of Box,0,,,
Vendor4,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Provide Medical Professional and Leadership Development Training,Does Not Support,0,,,
Vendor4,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Provide Military Professionals with Continuing Health Education to maintain competency,Out of Box,0,,,
