Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor10,Access a Healthy and Fit Force,Accession of a Healthy and Fit Force,Does not support,0,,,
Vendor10,Access a Healthy and Fit Force,"Collect medical, biological history",Does not support,0,,,
Vendor10,Access a Healthy and Fit Force,EHRs tracking starts here To evaluate physical and mental injury and treatment records,Does not support,0,,,
Vendor10,Access a Healthy and Fit Force,Remedial programs to raise condition of potential accessions to meet military standards,Does not support,0,,,
Vendor10,Ambulatory Diagnostic Services (Dental),Document care provided,Out of Box,0,,,
Vendor10,Ambulatory Diagnostic Services (Dental),Identify patients who will benefit from ambulatory diagnostic testing,Out of Box with Customization,0,,,
Vendor10,Ambulatory Diagnostic Services (Dental),Perform diagnostic test or procedure,Out of Box,0,,,
Vendor10,Ambulatory Diagnostic Services (Dental),Prepare patient for diagnostic test or procedure,Out of Box,0,,,
Vendor10,Ambulatory Diagnostic Services (Dental),Provide patient with post diagnostic test instructions,Out of Box with Customization,0,,,
Vendor10,Ambulatory Diagnostic Services (Dental),Recover Patient,Out of Box with Customization,0,,,
Vendor10,Ambulatory Diagnostic Services (Medical),Document care provided,Does not support,0,,,
Vendor10,Ambulatory Diagnostic Services (Medical),Identify patients who will benefit from ambulatory diagnostic testing,Does not support,0,,,
Vendor10,Ambulatory Diagnostic Services (Medical),Perform diagnostic test or procedure,Does not support,0,,,
Vendor10,Ambulatory Diagnostic Services (Medical),Prepare patient for diagnostic test or procedure,Does not support,0,,,
Vendor10,Ambulatory Diagnostic Services (Medical),Provide patient with post diagnostic test instructions,Does not support,0,,,
Vendor10,Ambulatory Diagnostic Services (Medical),Recover Patient,Does not support,0,,,
Vendor10,Amputee Care,Coordinate all medical and therapeutic services,Does not support,0,,,
Vendor10,Amputee Care,"Establish a registry for limb loss, limb at risk and limb salvage patients",Does not support,0,,,
Vendor10,Amputee Care,"Identify those with limb loss, at risk of limb loss, or who have had limb salvage",Does not support,0,,,
Vendor10,Amputee Care,"Incorporate advanced capabilities as they become available, including identification of candidates for limb transplantation",Does not support,0,,,
Vendor10,Amputee Care,Provide holistic rehabilitation treatment,Does not support,0,,,
Vendor10,Medical Logistics: Blood Operational Tasks ,Manage the Class VIII-B Materiel Throughout End to- End Supply Chain,Does not support,0,,,
Vendor10,Burn Care,Coordinate all medical and therapeutic services,Does not support,0,,,
Vendor10,Burn Care,"Establish a registry for those beneficiaries with skin, deep tissue or respiratory burns",Does not support,0,,,
Vendor10,Burn Care,Incorporate advanced capabilities as they become available,Does not support,0,,,
Vendor10,Burn Care,Provide burn care,Does not support,0,,,
Vendor10,Burn Care,Provide holistic rehabilitation treatment,Does not support,0,,,
Vendor10,Case Management,Assessment of clients,Does not support,0,,,
Vendor10,Case Management,Assist with Transition of Care,Does not support,0,,,
Vendor10,Case Management,Care Coordination,Does not support,0,,,
Vendor10,Case Management,Development and Implementation of Plan of Care,Does not support,0,,,
Vendor10,Case Management,Evaluate and Monitor Outcomes,Does not support,0,,,
Vendor10,Case Management,Identification of potential clients,Does not support,0,,,
Vendor10,Case Management,Maintain a licensed professional staff,Does not support,0,,,
Vendor10,Community Health Education,Assess the community health education requirements of specific DoD populations,Does not support,0,,,
Vendor10,Community Health Education,Deliver effective community health education programs,Does not support,0,,,
Vendor10,Community Health Education,"Develop evidence-based, cost-effective community health education programs",Does not support,0,,,
Vendor10,Community Health Education,Evaluate the effectiveness of community health education programs,Does not support,0,,,
Vendor10,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Determine personal and professional development needs of the medical force,Does not support,0,,,
Vendor10,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Provide Medical Professional and Leadership Development Training,Does not support,0,,,
Vendor10,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Provide Military Professionals with Continuing Health Education to maintain competency,Does not support,0,,,
Vendor10,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Determine education and training requirements - needs,Does not support,0,,,
Vendor10,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Evaluate Training Programs,Does not support,0,,,
Vendor10,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Provide high-quality basic and specialty military medical training,Does not support,0,,,
Vendor10,Dental Care,Diagnosis,Out of Box,0,,,
Vendor10,Dental Care,Document detainee dental care,Out of Box with Customization,0,,,
Vendor10,Dental Care,Emergency dental care,Out of Box,0,,,
Vendor10,Dental Care,Restore to health,Out of Box,0,,,
Vendor10,Dental Care,Routine dental care,Out of Box,0,,,
Vendor10,Emergency Detainee Healthcare,Document healthcare,Does not support,0,,,
Vendor10,Emergency Detainee Healthcare,First responder,Does not support,0,,,
Vendor10,Emergency Detainee Healthcare,Resuscitative care,Does not support,0,,,
Vendor10,Detainee Healthcare,Diagnosis,Does not support,0,,,
Vendor10,Detainee Healthcare,Document detainee healthcare,Does not support,0,,,
Vendor10,Detainee Healthcare,Liaison with security,Does not support,0,,,
Vendor10,Detainee Healthcare,Report suspected detainee abuse,Does not support,0,,,
Vendor10,Detainee Healthcare,Restore to health,Does not support,0,,,
Vendor10,Detainee Healthcare,Routine detainee healthcare,Does not support,0,,,
Vendor10,Detainee Healthcare,Rule on legal issues,Does not support,0,,,
Vendor10,Disability Counseling and Coaching,Case closure,Does not support,0,,,
Vendor10,Disability Counseling and Coaching,Coordinate,Does not support,0,,,
Vendor10,Disability Counseling and Coaching,Counsel,Does not support,0,,,
Vendor10,Disability Counseling and Coaching,Document- Manage Medical and Non-medical Information,Does not support,0,,,
Vendor10,Disability Counseling and Coaching,Educate PEBLOs- Counselors,Does not support,0,,,
Vendor10,Disability Counseling and Coaching,Identify severely ill or injured service members,Does not support,0,,,
Vendor10,Disability Counseling and Coaching,Measure Outcomes,Does not support,0,,,
